=== account repatch: launch attempt 1 2026-06-19T09:19:48Z ===
T=30d: 107 affected cells to repatch (of 181 total)
  [97/109] block 23,005,200   793s: acct_R=5,922,501
  [98/109] block 23,055,600   795s: acct_R=5,913,618
  [99/109] block 23,106,000   810s: acct_R=6,360,286
  [100/109] block 23,156,400   815s: acct_R=6,843,418
  [101/109] block 23,206,800   825s: acct_R=6,876,525
  [102/109] block 23,257,200   834s: acct_R=6,965,259
  [103/109] block 23,307,600   833s: acct_R=7,882,360
  [104/109] block 23,358,000   853s: acct_R=9,162,700
  [105/109] block 23,408,400   848s: acct_R=10,456,498
  [106/109] block 23,458,800   854s: acct_R=11,537,825
  [107/109] block 23,509,200   866s: acct_R=12,706,776
  [108/109] block 23,559,600   878s: acct_R=13,916,879
  [109/109] block 23,610,000   887s: acct_R=15,187,432

Done. checkpoint: /mnt/disk0/repos/xatu-analysis/state_access/data/v2/account_repatch_done.json
=== account repatch finished cleanly on attempt 1 ===
